left_out_year,auc_without_year,auc_year_only,n_left_out
2005,0.8097,0.7516,1423
2006,0.81,0.776,1427
2007,0.8083,0.8191,1428
2008,0.8029,0.8384,1493
2009,0.8067,0.8284,1508
2010,0.8081,0.7927,1420
2011,0.8088,0.7969,1637
2012,0.8074,0.8179,1637
2013,0.8091,0.7823,1624
2014,0.8077,0.8137,1626
2015,0.8085,0.7973,1611
2016,0.8084,0.7896,1579
2017,0.8074,0.7857,1578
2018,0.8097,0.7777,1550
2019,0.8081,0.731,1782
2020,0.8078,0.7792,1603
2021,0.8081,0.8038,1578
2022,0.806,0.8331,1553
2023,0.8076,0.815,1408
