sample_label,analyst_coverage_bucket,n_obs,n_firms,n_years,n_actual_increase,n_actual_decrease_or_equal,actual_increase_rate,mean_score,median_score,auc,accuracy_cutoff_0p5,predicted_increase_rate_cutoff_0p5
main_score_le_2,1,6618,2802,19,3803,2815,0.5746449078271381,0.6385614989422786,1.0,0.7298278119218772,0.7453913569054095,0.6385614989422786
main_score_le_2,2,4182,2117,19,2426,1756,0.580105212816834,0.639765662362506,1.0,0.7801999551179609,0.7580105212816834,0.5691056910569106
main_score_le_2,3-4,5576,2173,19,3390,2186,0.6079626972740315,0.6445331181252989,1.0,0.8108504238557515,0.7908895265423243,0.6384505021520803
main_score_le_2,5+,13089,2164,19,8323,4766,0.6358774543509818,0.6707065746034434,1.0,0.868013138641895,0.8362747345098938,0.6738482695393078
sensitivity_score_le_5,1,6618,2802,19,3803,2815,0.5746449078271381,0.6385614989422786,1.0,0.7298278119218772,0.7453913569054095,0.6385614989422786
sensitivity_score_le_5,2,4182,2117,19,2426,1756,0.580105212816834,0.639765662362506,1.0,0.7801999551179609,0.7580105212816834,0.5691056910569106
sensitivity_score_le_5,3-4,5576,2173,19,3390,2186,0.6079626972740315,0.6445331181252989,1.0,0.8108504238557515,0.7908895265423243,0.6384505021520803
sensitivity_score_le_5,5+,13089,2164,19,8323,4766,0.6358774543509818,0.6707065746034434,1.0,0.868013138641895,0.8362747345098938,0.6738482695393078
sensitivity_score_le_6,1,6618,2802,19,3803,2815,0.5746449078271381,0.6385614989422786,1.0,0.7298278119218772,0.7453913569054095,0.6385614989422786
sensitivity_score_le_6,2,4182,2117,19,2426,1756,0.580105212816834,0.639765662362506,1.0,0.7801999551179609,0.7580105212816834,0.5691056910569106
sensitivity_score_le_6,3-4,5576,2173,19,3390,2186,0.6079626972740315,0.6445331181252989,1.0,0.8108504238557515,0.7908895265423243,0.6384505021520803
sensitivity_score_le_6,5+,13089,2164,19,8323,4766,0.6358774543509818,0.6707065746034434,1.0,0.868013138641895,0.8362747345098938,0.6738482695393078
