sample_label,period,fyear_start,fyear_end,n_obs,n_firms,n_years,n_actual_increase,n_actual_decrease_or_equal,actual_increase_rate,mean_score,median_score,auc,accuracy_cutoff_0p5,predicted_increase_rate_cutoff_0p5
main_score_le_2,full_sample,2005,2023,29465,4503,19,17942,11523,0.6089258442219583,0.6541420336552227,1.0,0.8079462642762243,0.7961649414559647,0.644357712540302
main_score_le_2,2015_2023,2015,2023,14242,3072,9,8806,5436,0.6183120348265693,0.6315069623178364,1.0,0.8074220813556614,0.7948321864906615,0.6218227776997612
main_score_le_2,2019_2023,2019,2023,7924,2495,5,4643,3281,0.5859414437152953,0.5676619789705101,0.8571428571428571,0.8124235288340974,0.7879858657243817,0.5576728924785462
main_score_le_2,fy2023_only,2023,2023,1408,1408,1,848,560,0.6022727272727273,0.6291163719747476,1.0,0.8150490650269542,0.8075284090909091,0.6285511363636364
sensitivity_score_le_5,full_sample,2005,2023,29465,4503,19,17942,11523,0.6089258442219583,0.6541420336552227,1.0,0.8079462642762243,0.7961649414559647,0.644357712540302
sensitivity_score_le_5,2015_2023,2015,2023,14242,3072,9,8806,5436,0.6183120348265693,0.6315069623178364,1.0,0.8074220813556614,0.7948321864906615,0.6218227776997612
sensitivity_score_le_5,2019_2023,2019,2023,7924,2495,5,4643,3281,0.5859414437152953,0.5676619789705101,0.8571428571428571,0.8124235288340974,0.7879858657243817,0.5576728924785462
sensitivity_score_le_5,fy2023_only,2023,2023,1408,1408,1,848,560,0.6022727272727273,0.6291163719747476,1.0,0.8150490650269542,0.8075284090909091,0.6285511363636364
sensitivity_score_le_6,full_sample,2005,2023,29465,4503,19,17942,11523,0.6089258442219583,0.6541420336552227,1.0,0.8079462642762243,0.7961649414559647,0.644357712540302
sensitivity_score_le_6,2015_2023,2015,2023,14242,3072,9,8806,5436,0.6183120348265693,0.6315069623178364,1.0,0.8074220813556614,0.7948321864906615,0.6218227776997612
sensitivity_score_le_6,2019_2023,2019,2023,7924,2495,5,4643,3281,0.5859414437152953,0.5676619789705101,0.8571428571428571,0.8124235288340974,0.7879858657243817,0.5576728924785462
sensitivity_score_le_6,fy2023_only,2023,2023,1408,1408,1,848,560,0.6022727272727273,0.6291163719747476,1.0,0.8150490650269542,0.8075284090909091,0.6285511363636364
